file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/pluginmgr/PluginListHandler.java,org.gjt.sp.jedit.pluginmgr.PluginListHandler,class,12,14,2,12,40,2,0,26,43,0.8932805,0.35714287,0.53571427,11,0,7,3,0,1,8,0,0,0,23,0,0,23,0,0,4,0,4,156,4,1,12,1,1,29,13,51,0,28,11,0,0,0,59,0,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/help/HelpViewer.java,org.gjt.sp.jedit.help.HelpViewer$KeyHandler,innerclass,0,0,0,0,7,2,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,6,8,4,1,1,0,0,0,11,2,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/print/PrintRangeType.java,org.gjt.sp.jedit.print.PrintRangeType,class,1,5,4,1,11,2,0,4,10,1.0,0.0,0.0,5,0,5,0,0,0,5,0,2,0,7,7,6,1,0,0,1,0,0,45,4,0,0,0,0,8,15,8,0,8,1,0,0,0,55,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/Macros.java,org.gjt.sp.jedit.Macros$Macro,innerclass,4,4,0,4,7,2,0,9,15,0.8333333,0.26666668,0.4,6,1,6,0,0,0,6,0,0,0,3,0,0,2,0,1,0,0,1,37,4,0,1,1,0,2,1,4,2,4,3,0,0,0,26,9,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/textarea/StandaloneTextArea.java,org.gjt.sp.jedit.textarea.StandaloneTextArea,class,28,29,1,28,49,7,0,102,124,0.7647059,0.2,0.2,17,3,5,12,0,0,6,0,0,0,1,0,0,1,0,0,1,0,15,270,20,3,12,6,0,79,13,47,4,39,3,1,1,0,174,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/bsh/BSHPackageDeclaration.java,org.gjt.sp.jedit.bsh.BSHPackageDeclaration,class,6,7,1,6,2,2,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,1,2,0,2,0,0,0,0,24,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/gui/HistoryTextField.java,org.gjt.sp.jedit.gui.HistoryTextField$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/bsh/Variable.java,org.gjt.sp.jedit.bsh.Variable,class,6,11,5,6,20,1,0,8,0,0.6666667,0.6212121,1.0,12,0,7,0,0,5,12,0,0,0,7,1,0,0,0,7,1,0,2,59,9,0,7,0,0,7,2,13,1,8,1,0,0,0,66,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/options/BrowserColorsOptionPane.java,org.gjt.sp.jedit.options.BrowserColorsOptionPane,class,11,14,3,11,9,7,0,32,4,0.59999996,0.33333334,0.33333334,5,0,1,2,2,0,3,0,0,0,6,0,0,6,0,0,0,0,14,112,0,0,3,0,0,9,14,13,1,12,0,0,3,0,48,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/gui/statusbar/RectSelectWidgetFactory.java,org.gjt.sp.jedit.gui.statusbar.RectSelectWidgetFactory$RectSelectWidget$Anonymous1,anonymous,3,3,0,3,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,1,0,1,1,0,0,0,11,-1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/gui/AbstractContextOptionPane.java,org.gjt.sp.jedit.gui.AbstractContextOptionPane,class,10,15,5,10,20,6,2,31,28,0.8111111,0.23809524,0.47619048,9,0,0,2,7,0,7,2,0,0,9,0,0,9,0,0,1,0,20,175,0,2,7,0,1,13,14,18,1,18,4,0,4,0,110,1025,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/gui/GrabKeyDialog.java,org.gjt.sp.jedit.gui.GrabKeyDialog$InputPane,innerclass,8,8,0,8,18,6,0,20,6,0.75,0.16666667,0.16666667,4,0,3,0,1,0,4,0,0,0,1,0,0,0,1,0,0,0,7,54,5,0,12,0,2,9,1,7,3,5,3,0,0,0,43,2,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/Registers.java,org.gjt.sp.jedit.Registers$DefaultRegister,innerclass,2,2,0,2,8,1,0,4,0,0.0,1.0,1.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,2,27,4,0,1,1,0,0,0,2,0,1,2,0,0,0,18,10,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/pluginmgr/ManagePanel.java,org.gjt.sp.jedit.pluginmgr.ManagePanel$HeaderMouseHandler$CleanupActionListener,innerclass,7,7,0,7,5,1,0,13,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,25,1,2,2,0,0,3,2,11,1,10,2,0,0,0,22,2,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/buffer/BufferListener.java,org.gjt.sp.jedit.buffer.BufferListener,interface,1,4,3,1,8,1,0,0,28,0.0,0.0,0.0,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/print/PrinterDialog.java,org.gjt.sp.jedit.print.PrinterDialog$GeneralPanel$PrintServiceCellRenderer,innerclass,2,2,0,2,4,5,0,10,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,23,1,0,1,0,0,5,1,5,1,3,1,0,0,0,28,0,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/gui/HistoryTextField.java,org.gjt.sp.jedit.gui.HistoryTextField,class,6,23,17,6,37,9,5,40,136,0.9411765,0.30882353,0.4117647,17,0,15,0,2,0,17,0,0,0,3,0,0,3,0,0,0,0,2,166,6,0,3,0,0,0,3,6,1,6,4,1,2,0,124,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/help/HelpTOCPanel.java,org.gjt.sp.jedit.help.HelpTOCPanel,class,5,10,5,5,6,10,0,14,3,0.6666667,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,4,0,0,4,0,0,0,0,1,115,2,0,2,0,0,3,1,5,0,6,1,2,2,0,47,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/util/TaskManager.java,org.gjt.sp.util.TaskManager$TaskVisitor,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/bsh/BSHFormalParameter.java,org.gjt.sp.jedit.bsh.BSHFormalParameter,class,4,7,3,4,5,2,0,4,3,0.77777785,0.0,0.0,3,0,2,0,0,1,3,0,0,0,3,1,3,0,0,0,1,0,0,17,3,0,0,0,2,1,4,3,0,3,1,0,0,0,48,0,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/jEdit.java,org.gjt.sp.jedit.jEdit$DockingLayoutSetter,innerclass,3,3,0,3,2,1,0,3,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,3,0,0,3,0,0,3,0,0,15,0,0,0,0,0,0,0,4,0,4,0,0,0,0,16,10,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/browser/BrowserView.java,org.gjt.sp.jedit.browser.BrowserView$ParentDirectoryRenderer,innerclass,5,5,0,5,8,6,0,12,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,2,0,0,2,0,0,1,0,4,26,1,0,2,0,0,4,5,4,2,3,1,0,0,0,36,0,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/gui/statusbar/ErrorsWidgetFactory.java,org.gjt.sp.jedit.gui.statusbar.ErrorsWidgetFactory$ErrorHighlight,innerclass,6,6,0,6,8,6,0,21,13,0.77777773,0.1,0.1,6,0,4,1,0,1,5,0,0,0,3,0,0,3,0,0,1,0,8,62,1,0,2,0,0,7,4,8,3,8,2,0,1,0,47,10,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/options/BrowserColorsOptionPane.java,org.gjt.sp.jedit.options.BrowserColorsModel$Entry,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,4,10,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/buffer/PositionManager.java,org.gjt.sp.jedit.buffer.PositionManager$PosBottomHalf,innerclass,2,2,0,2,17,1,0,4,0,0.5,0.52380955,0.52380955,8,0,2,1,0,5,7,0,0,0,2,0,0,0,0,2,0,0,0,35,3,0,2,0,2,1,2,4,2,2,1,0,0,0,40,0,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/bsh/ExternalNameSpace.java,org.gjt.sp.jedit.bsh.ExternalNameSpace,class,7,8,1,7,21,2,0,22,49,0.46666667,0.26666668,0.26666668,15,0,11,0,3,1,15,0,0,0,1,0,0,1,0,0,0,0,2,78,5,0,3,1,0,3,1,13,0,6,2,0,0,0,145,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/gui/ColorWellButton.java,org.gjt.sp.jedit.gui.ColorWellButton$ColorWell,innerclass,1,1,0,1,5,1,0,12,0,0.375,0.33333334,0.33333334,4,0,3,0,0,1,4,0,0,0,2,0,0,1,0,1,0,0,2,20,3,0,1,0,0,2,2,2,2,2,1,0,0,0,20,8,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/bsh/ClassGenerator.java,org.gjt.sp.jedit.bsh.ClassGenerator,class,8,13,5,8,6,1,1,2,6,0.75,0.0,0.0,4,1,4,0,0,0,4,3,0,0,1,1,0,1,0,0,0,0,1,18,1,0,1,1,0,2,0,2,1,2,2,0,0,0,74,1025,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/syntax/TokenMarker.java,org.gjt.sp.jedit.syntax.TokenMarker$LineContext,innerclass,4,4,0,4,29,1,0,10,8,0.5714286,0.47619048,0.47619048,8,1,7,1,0,0,7,0,0,0,7,1,6,1,0,0,1,0,3,70,11,1,22,0,7,0,7,27,0,13,3,0,0,0,53,9,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/bsh/reflect/ReflectManagerImpl.java,org.gjt.sp.jedit.bsh.reflect.ReflectManagerImpl,class,1,1,0,1,2,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,1,0,0,0,0,0,1,0,0,0,45,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/JEditRegistersListener.java,org.gjt.sp.jedit.JEditRegistersListener,class,2,3,1,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/io/CopyFileWorker.java,org.gjt.sp.jedit.io.CopyFileWorker$Behavior,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/gui/JCheckBoxList.java,org.gjt.sp.jedit.gui.JCheckBoxList$Entry,innerclass,0,0,0,0,4,1,0,0,0,0.5,0.6666667,1.0,4,0,4,0,0,0,4,0,0,0,3,0,0,0,0,3,0,0,0,19,2,0,0,0,0,0,0,4,0,3,0,0,0,0,14,9,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/gui/tray/JEditSwingTrayIcon.java,org.gjt.sp.jedit.gui.tray.JEditSwingTrayIcon$MyMouseAdapter,innerclass,2,2,0,2,13,2,0,17,1,0.5,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,7,34,3,2,4,0,0,1,1,3,0,3,5,0,0,0,31,2,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/io/VFS.java,org.gjt.sp.jedit.io.VFS$SessionGetter,innerclass,1,1,0,1,3,1,0,1,0,0.22222222,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,15,1,0,0,0,0,0,0,3,0,3,0,0,0,0,14,2,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/gui/FilesChangedDialog.java,org.gjt.sp.jedit.gui.FilesChangedDialog,class,11,15,4,11,36,13,0,56,3,0.6111111,0.0,0.0,6,0,3,3,0,0,3,0,0,0,9,0,0,9,0,0,0,0,24,217,3,6,15,0,3,19,41,47,4,38,3,0,3,0,100,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/pluginmgr/ManagePanel.java,org.gjt.sp.jedit.pluginmgr.ManagePanel$PluginTableModel,innerclass,12,12,0,12,63,2,0,60,28,0.765625,0.4945055,0.4945055,16,0,13,2,0,1,14,0,0,0,4,0,0,4,0,0,1,0,29,226,21,8,16,0,1,15,25,40,3,32,4,1,0,0,100,2,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/io/LocalFileSaveTask.java,org.gjt.sp.jedit.io.LocalFileSaveTask,class,4,4,0,4,4,2,0,14,0,0.125,1.0,1.0,2,0,2,0,0,0,2,0,0,0,4,1,0,4,0,0,1,0,5,39,0,1,0,1,0,2,2,15,2,10,2,0,0,0,78,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/textarea/TextAreaTransferHandler.java,org.gjt.sp.jedit.textarea.TextAreaTransferHandler,class,21,23,2,21,62,4,0,55,25,0.74,0.2,0.2,10,0,4,4,2,0,6,0,0,0,5,5,0,5,0,0,0,0,25,267,16,6,18,3,2,22,11,59,12,41,6,0,2,0,109,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/BeanShell.java,org.gjt.sp.jedit.BeanShell$MyBeanShellFacade,innerclass,7,7,0,7,7,2,0,10,10,0.0,0.0,0.0,5,0,0,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,1,44,0,0,1,0,0,24,0,1,0,1,1,0,0,0,41,10,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/bsh/Interpreter.java,org.gjt.sp.jedit.bsh.Interpreter,class,22,81,59,22,157,1,0,99,1133,0.9129311,0.12971343,0.47586727,58,5,47,7,0,4,52,0,4,0,17,5,2,3,1,11,1,0,30,518,26,2,15,17,7,94,18,84,47,56,5,1,0,0,531,1,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/gui/KeyEventTranslator.java,org.gjt.sp.jedit.gui.KeyEventTranslator$Key,innerclass,1,1,0,1,11,1,0,2,5,0.5666667,0.33333334,0.46666667,6,0,6,0,0,0,6,0,0,0,5,0,3,1,1,0,4,0,3,34,5,0,3,0,1,1,2,6,2,6,2,0,0,0,37,9,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/gui/PanelWindowContainer.java,org.gjt.sp.jedit.gui.PanelWindowContainer$ActionHandler,innerclass,3,3,0,3,5,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,3,0,0,0,13,0,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/bsh/TokenMgrError.java,org.gjt.sp.jedit.bsh.TokenMgrError,class,1,4,3,1,19,3,0,11,15,0.9666667,0.0,0.0,6,2,4,0,2,0,6,0,1,0,5,4,0,0,0,5,4,0,5,66,3,1,0,0,4,20,10,9,6,9,3,0,0,0,143,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/print/PrinterDialog.java,org.gjt.sp.jedit.print.PrinterDialog$PageSetupPanel,innerclass,11,11,0,11,62,18,0,73,24,0.6481482,1.0,1.0,9,0,2,5,1,1,4,0,0,0,6,0,0,2,0,4,0,0,66,334,12,1,11,0,0,69,36,124,26,89,2,3,3,0,118,2,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/io/EncodingWithBOM.java,org.gjt.sp.jedit.io.EncodingWithBOM,class,5,5,0,5,10,1,0,8,6,0.75,0.6,0.6,4,0,4,0,0,0,5,0,0,0,5,3,0,5,0,0,5,0,2,81,3,0,1,0,3,6,13,13,2,12,1,0,1,0,49,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/search/HyperSearchTreeNodeCallback.java,org.gjt.sp.jedit.search.HyperSearchTreeNodeCallback,interface,0,5,5,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/print/PrinterDialog.java,org.gjt.sp.jedit.print.PrinterDialog$AdvancedPanel$ChromaticityCellRenderer,innerclass,2,2,0,2,3,5,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0,1,0,0,0,0,0,0,0,0,18,0,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/View.java,org.gjt.sp.jedit.View,class,54,246,192,54,293,13,0,250,3698,0.9805868,0.071205005,0.44248825,88,7,69,16,0,3,72,0,2,2,48,21,19,27,0,2,26,0,111,1054,57,25,89,2,15,72,55,232,27,165,5,2,7,0,556,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/gui/PasteFromListDialog.java,org.gjt.sp.jedit.gui.PasteFromListDialog$ListHandler,innerclass,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/gui/DynamicContextMenuService.java,org.gjt.sp.jedit.gui.DynamicContextMenuService,class,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1025,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/options/ShortcutsOptionPane.java,org.gjt.sp.jedit.options.ShortcutsOptionPane,class,21,25,4,21,29,15,0,75,23,0.79090905,0.33333334,0.33333334,10,0,1,7,2,0,3,0,0,0,11,0,0,11,0,0,0,0,29,442,2,5,9,1,0,19,14,48,3,39,4,4,6,0,161,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/gui/ToolBarManager.java,org.gjt.sp.jedit.gui.ToolBarManager$Entry,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,4,10,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/indent/CloseBracketIndentRule.java,org.gjt.sp.jedit.indent.CloseBracketIndentRule$AlignBracket,innerclass,4,4,0,4,9,1,0,7,9,0.7142857,0.2857143,0.71428573,7,0,7,0,0,0,7,0,0,0,5,0,0,5,0,0,0,0,2,39,6,0,2,0,1,0,2,8,3,7,2,0,0,0,27,10,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/Registers.java,org.gjt.sp.jedit.Registers,class,14,31,17,14,100,1,0,70,398,0.9310345,0.08300395,0.14624506,29,28,21,7,1,0,23,0,0,0,5,5,0,5,0,0,0,0,53,366,23,3,34,4,1,15,24,60,15,44,5,0,3,0,197,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/textarea/TextAreaTransferHandler.java,org.gjt.sp.jedit.textarea.TextAreaTransferHandler$DraggedURLLoader,innerclass,4,4,0,4,2,2,0,2,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,2,0,0,2,0,0,2,0,2,13,0,0,0,0,0,0,0,3,0,3,0,0,0,0,16,10,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/gui/BufferSwitcher.java,org.gjt.sp.jedit.gui.BufferSwitcher$BufferCellRenderer,innerclass,3,3,0,3,2,6,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,15,1,0,1,0,0,0,0,1,0,1,1,0,0,0,19,8,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/gui/PanelWindowContainer.java,org.gjt.sp.jedit.gui.PanelWindowContainer$DockableWindowCompare,innerclass,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,7,1,0,0,0,0,4,0,2,2,2,0,0,0,0,9,8,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jEdit-5.5.0/org/gjt/sp/jedit/syntax/XModeHandler.java,org.gjt.sp.jedit.syntax.XModeHandler,class,13,16,3,13,74,2,0,57,98,0.90625,0.21818182,0.38181818,16,0,9,5,2,0,11,2,0,0,10,0,0,10,0,0,1,0,14,403,20,3,23,4,0,58,6,22,2,19,4,0,1,0,136,1025,0
